City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Barreirinha,BR,76.37,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
614,Abu Dhabi,AE,89.71,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
620,Qui Nhon,VN,77.68,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
624,Mogadishu,SO,81.66,few clouds,2.0371,45.3438,Hotel Juba
630,Boyolangu,ID,87.96,overcast clouds,-8.1181,111.8935,Yos ega cv
631,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
632,Rio Grande City,US,76.75,overcast clouds,26.3798,-98.8203,La Borde House
634,Canutama,BR,75.27,scattered clouds,-6.5339,-64.3831,Hotel Jhennifer
637,Ampanihy,MG,77.23,overcast clouds,-24.7,44.75,Angora Hotel
645,Namwala,ZM,82.53,broken clouds,-15.7504,26.4384,Corner Point Lodge
648,Port Macquarie,AU,82.36,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
650,Biak,ID,85.35,broken clouds,-0.9131,122.8766,Penginapan Kim
653,Tura,IN,79.7,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
655,Aswan,EG,75.07,clear sky,24.0934,32.907,Nuba Nile
663,Namatanai,PG,83.86,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
664,Samfya,ZM,82.94,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
667,Pemangkat,ID,84.69,moderate rain,1.1667,108.9667,Ramah Kost KITA
671,Carutapera,BR,77.13,overcast clouds,-1.195,-46.02,Lidera
673,Trairi,BR,80.49,overcast clouds,-3.2778,-39.2689,janelas do mar
675,Miri,MY,84.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
679,Saint-Pierre,RE,83.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
681,Arecibo,PR,80.08,clear sky,18.4724,-66.7157,Atlantic Sand Oasis
