City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Iqaluit,CA,63.7506,-68.5145,25.7,86,91,5.01,overcast clouds
90,Klaksvik,FO,62.2266,-6.589,49.12,96,100,30.74,overcast clouds
91,Impfondo,CG,1.6381,18.0667,71.69,97,93,1.28,moderate rain
92,Port Hardy,CA,50.6996,-127.4199,47.28,82,100,9.55,overcast clouds
93,Bubaque,GW,11.2833,-15.8333,83.88,68,95,5.5,light rain
94,Port Blair,IN,11.6667,92.75,78.53,80,100,6.58,moderate rain
95,Gimbi,ET,9.1667,35.8333,63.52,65,7,2.71,clear sky
96,Wiwili,NI,13.6268,-85.8254,71.87,97,97,2.33,overcast clouds
97,Omvriaki,GR,39.1,22.2667,55.36,69,19,2.77,few clouds
98,Burdur,TR,37.7203,30.2908,45.3,66,0,1.14,clear sky
99,Hovd,MN,48.0056,91.6419,46.15,29,100,1.86,overcast clouds
100,Maceio,BR,-9.6658,-35.7353,78.24,94,20,4.61,few clouds
101,Muros,ES,42.7762,-9.0603,56.84,94,27,2.68,scattered clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,85,74,5.88,broken clouds
103,Umm Kaddadah,SD,13.6017,26.6876,83.3,20,21,16.58,few clouds
104,Port Moresby,PG,-9.4431,147.1797,82.92,70,43,9.19,scattered clouds
105,Barrow,US,71.2906,-156.7887,28.42,80,90,12.66,overcast clouds
106,Fernandez,AR,-27.9204,-63.8935,69.17,70,23,9.46,few clouds
107,Avera,US,33.194,-82.5271,60.71,78,25,7.2,scattered clouds
108,Chagoda,RU,59.164,35.3285,39.09,81,98,8.88,overcast clouds
109,Barda,AZ,40.3744,47.1267,58.28,54,0,2.44,clear sky
110,Qaanaaq,GL,77.484,-69.3632,-0.42,64,0,8.39,clear sky
111,Borovskoy,KZ,53.8,64.15,49.93,66,55,18.57,broken clouds
112,Miguel Auza,MX,24.2933,-103.4503,59.43,65,20,5.1,few clouds
113,Clyde River,CA,70.4692,-68.5914,21.92,91,100,5.12,light snow
114,Ushuaia,AR,-54.8,-68.3,37.06,75,90,31.07,overcast clouds
115,Avarua,CK,-21.2078,-159.775,69.85,73,20,6.91,few clouds
116,Ullal,IN,12.8,74.85,83.35,74,75,5.75,light rain
117,Goderich,CA,43.7501,-81.7165,35.04,70,100,5.19,overcast clouds
118,Tongliao,CN,43.6125,122.2653,58.64,24,0,9.66,clear sky
119,Aloleng,PH,16.1307,119.7824,86.94,67,70,6.8,broken clouds
120,Kalmunai,LK,7.4167,81.8167,86.22,65,24,2.24,few clouds
121,Hilo,US,19.7297,-155.09,73.13,92,90,5.75,moderate rain
122,Tuktoyaktuk,CA,69.4541,-133.0374,31.98,94,100,10.11,overcast clouds
123,Port Elizabeth,ZA,-33.918,25.5701,69.1,51,77,14.0,broken clouds
124,Cape Town,ZA,-33.9258,18.4232,61.09,70,83,5.99,light rain
125,Vila Velha,BR,-20.3297,-40.2925,67.95,94,75,2.3,broken clouds
126,Bakloh,IN,32.4667,75.9167,67.86,52,95,1.21,overcast clouds
127,Dakar,SN,14.6937,-17.4441,72.48,68,5,15.37,clear sky
128,Havoysund,NO,70.9963,24.6622,32.88,59,100,11.77,light snow
129,Suntar,RU,62.1444,117.6319,40.96,77,48,6.93,scattered clouds
130,Carnarvon,AU,-24.8667,113.6333,80.67,50,0,20.71,clear sky
131,Sao Filipe,CV,14.8961,-24.4956,79.11,69,0,5.14,clear sky
132,Paita,PE,-5.0892,-81.1144,65.89,84,100,11.25,overcast clouds
133,Kahului,US,20.8947,-156.47,76.84,85,1,17.27,clear sky
134,Campbell River,CA,50.0163,-125.2446,51.6,76,100,5.99,overcast clouds
135,Mana,GF,5.6592,-53.7767,77.95,89,98,9.35,overcast clouds
136,Castro,BR,-24.7911,-50.0119,52.81,79,0,4.41,clear sky
137,Bojnurd,IR,37.4747,57.329,59.67,19,0,8.19,clear sky
138,Arraial Do Cabo,BR,-22.9661,-42.0278,67.87,85,0,13.49,clear sky
139,Puerto Ayora,EC,-0.7393,-90.3518,69.37,87,54,7.45,broken clouds
140,Daru,PG,-9.0763,143.2092,83.01,66,39,11.92,scattered clouds
141,Mar Del Plata,AR,-38.0023,-57.5575,55.09,90,75,0.0,broken clouds
142,Rocha,UY,-34.4833,-54.3333,53.8,92,95,2.84,overcast clouds
143,Ilulissat,GL,69.2167,-51.1,21.22,68,40,14.97,scattered clouds
144,Chambas,CU,22.1928,-78.9136,74.82,90,97,2.19,overcast clouds
145,Keflavik,IS,64.0049,-22.5624,45.03,93,90,9.22,overcast clouds
146,Mahebourg,MU,-20.4081,57.7,79.25,73,34,15.26,scattered clouds
147,Sakakah,SA,29.9697,40.2064,71.91,32,3,10.51,clear sky
148,Mashhad,IR,36.297,59.6062,51.94,46,0,4.61,clear sky
149,Zyryanka,RU,65.75,150.85,-3.48,90,55,1.41,broken clouds
150,Diamantino,BR,-14.4086,-56.4461,73.99,91,89,6.17,overcast clouds
